문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
나에 부모 어린 자식들 이웃.주변 사람들에 생명을 위협하는 테러범 들입니다.자신들이 무슨짓을 하고 있는지 모르는 싸이코 패스 입니다.엄벌에 처해 주세요...이런짓은 살인이나 마찬 가지입니다.,0,0,0,0,0,0,1,0,0,0
성형은 기본인가 보네 일단 저딴 마인드부류의 탈북자는 내쫓자 그게 저들을 위해서도 좋을 것 아니냐?,0,1,0,0,0,0,0,0,0,0
앱충재기 빌어준다이기 보험금 두둑히 챙겨라^오^,0,0,0,0,0,0,0,0,0,1
중동식 주작,0,1,0,0,0,0,0,0,0,0
종교계의 문제가 아니라 아이가진 엄마들이라면 찬성할 수가 없죠! 게다가 난민 이슬람 반대 목소리도 못내는 자국민 역차별 정책인데 대한민국 국민이면 누가 찬성한다고 그러십니까!,0,1,0,0,0,0,0,0,0,0
경찰에게 물리적 위해를 가한다 > 무전을 친다 > 출동 병력이 여경밖에 없다 >여경 10명이 현장에 나와 무전을 친다,0,0,0,0,0,0,0,0,0,1
아무 한남이나잡고 아가리찢고싶다진심,0,0,0,0,0,0,0,0,0,1
나이브 단어들으니 ㄹㅇ이노 좆팔ㅋㅋㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
나라에서 성매매를 공창 같이 합법으로 풀었다가 이제는 불법으로 전환 해야 하는 시점이다 이런 판단이 들어서 그동안 성매매 종사 했던 사람들에게 미안하니까 보조금을 준다 이러면 좀 이해가 갈 듯 한데 범죄자로 이미 만들어 놓고 보조금 주겠다는 소리가 말도 안되는 소리죠.,0,0,0,0,0,0,0,1,0,0
나련도 예전에는 대중교통에서 혼자 스트레스받았는데 쩍벌하고 앉고 개저들 어깨빵하고 다닌다 이니야~~~~,0,0,0,0,0,0,0,0,0,1
오세라비님은 페미니스트 아닙니다만 ^^;;,0,0,0,0,0,0,0,1,0,0
개인 사기업에서 본인 회사에 맞는 사람을 뽑겠다는데. 왠 ㅈㄹ 들. 여기가 공산국가냐.,0,0,0,0,0,0,1,0,0,0
1일에 3천??? 사건터지고 준거아님??? 왜 한꺼번에 몰아줬지??,0,0,0,0,0,0,0,1,0,0
나이스 ㅅㅅ,0,0,0,0,0,0,0,1,0,0
삑 합성입니다 실제로 검색하면 안나와요 여러분,0,0,0,0,0,0,0,1,0,0
좆팔 가성비 앵 나오노ㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
두부맛 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 씨발,0,0,0,0,0,0,1,0,0,0
팩트)죄 맞다,0,0,0,0,0,0,0,1,0,0
근데 좌표없냐? 좌표좀찍어줘,0,0,0,0,0,0,0,1,0,0
잘생겼다는말.... 좀만 더 생각해보면 진짜 그 말 자체로 잘 생겼다 이말이 존나 큰 칭찬같음 얼굴이 눈코입 얼굴형 끽해봐야 5미리 이내로 차이나는건데 그 차이들이 모이니까 한놈은 존재 자체로 잘 생긴게되고 한놈은 존재 자체로 못 생긴게됨 ...,0,0,0,0,0,0,0,1,0,0
미쳤노 ㄹㅇ이거 외신감 아니냐,0,0,0,0,0,0,0,1,0,0
300 벌어서 엇다 씀? 혼자 살아도 모자랄텐데,0,0,0,0,0,0,0,1,0,0
"ㄹㅇ쓰까=""나는 워마드는 아니지만~"" ""워마드는 잘못됐지만~""식의 페미니스트=개념녀돼뿟노 반대로 터프소리는 신김치녀됐다이기야",0,0,0,0,0,0,0,0,0,1
탈동성애를 고민하는분들에게 너무 희망적인 기사네요. 탈동성애를 응원합니다! 절대 가능합니다!!,1,0,0,0,0,0,0,0,0,0
와.....,0,0,0,0,0,0,0,1,0,0
지금 4-50대들 노인되면 진정한 헬게이트가 오픈되느니라,0,0,1,0,0,0,0,0,0,0
짱깨새끼들도 짱깨짓 안하면 욕 안들음,0,1,0,0,0,0,0,0,0,0
그나라가면 그나라 법을 따라야지 당연한거 아닌감 이슬람 사람들 가뜩이나 테러자들이 많은데 말이야,0,0,0,0,1,0,0,0,0,0
조지고! 부시고!,0,0,0,0,0,0,0,1,0,0
저런 서비스해주는 건 다 사람들이노. 사회에서 남자보다 여자가 직업구하기도 힘들고 더 힘든일을 많이하는데 정작 지들은 ㅎㅁ들다 앵앵대노,0,0,0,0,0,0,1,0,0,0
가게에서 카운터 보고 있는데 내 또래 미국새끼 왔길래 가격 영어로 말해 줬더니 중1이면 가능한 수준 영어 나보고 영어 잘한다고 좆나게 필요이상 호감을 보임 게이새끼 같았음,1,1,0,0,0,0,0,0,0,0
국제결혼이 답이라는 하루도 안빠지고 외치는 새끼들이 저런건 또 까네 애미뒤짐 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 천재네 저녀석들 ㅋㅋㅋ,0,0,0,0,0,0,0,1,0,0
소추 누구냐 돈고충 한마리 있나보넼ㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0
급식들이라 훈방,0,0,1,0,0,0,0,0,0,0
아니 저 여자를 욕할건 없지,0,0,0,0,0,0,0,1,0,0
데스노트 갖고싶다,0,0,0,0,0,0,0,1,0,0
한남주제에 결혼하겠다니 으따 꿈도 크다,0,0,0,0,0,0,0,0,0,1
전남 보성에 광주 이씨잖아몰랐냐지금 보성에 날리도 아닌데,0,0,0,0,0,0,0,1,0,0
"성적으로 과장된 악행은 북한, 전라도 새끼들이 잘 쓰는 선동 용어임ㅋㅋ임산부 배를 갈랐네~ 여자 젖가슴을 도려냈네~ 보지에 뭘 꽂았네~",0,1,0,1,0,0,0,0,0,0
딱 10cm만 더 컸으면 좋겠다.,0,0,0,0,0,0,0,1,0,0
결말이 어캐 났나요?,0,0,0,0,0,0,0,1,0,0
백날 떠들어봐라 항문섹 한다고 없던 에이즈가 생기는게 아니라느니 이성간에도 에이즈가 생긴다느니 논점 벗어난 씹소리 하는게 게이 옹호론자들임,1,0,0,0,0,0,0,0,0,0
공중파 광고홍보 개꿀이다이기야~~~~~~깔깔깔깔,0,0,0,0,0,0,0,1,0,0
아 내 여친도 모르더라 ㅠ 근데 인서울 이과계열 졸업함 ㅠㅠㅠ 상식 ㅆㅎㅌㅊ,0,0,0,0,0,0,1,0,0,0
으휴 30 40대가 꼴통달창세대여서 그런지 애들관리도 개판이구나,0,0,1,0,0,0,0,0,0,0
암놈 키우면 보지 좀 찍어서 올려봐라,0,0,0,0,0,0,0,0,0,1
오 축구선수 전적말벅지에 그만...,0,0,0,0,0,0,1,0,0,0
연애하기 존나 쉬운대 병신아? ㅋㅋㅋ 난 그럼 뭐냐,0,0,0,0,0,0,1,0,0,0
삼륜안 ㄷㄷㄷㄷ,0,0,0,0,0,0,0,1,0,0
게임도 예방과 치료가 필요한 중독 맞는데 뭐가 문제??,0,0,0,0,0,0,0,1,0,0
등신 새끼들 아님? 조선족이란 말 자체가 조선인을 인정하는 건데 한족 새끼들 등신임.,0,1,0,0,0,0,0,0,0,0
한국남자들은 기가 너무 쎄서 문제. 전 지구적으로 제일 기쎄면서 성격 좆밥같고 못생기고 자지도작고 여자한테 배려심도없음 ㅎㅎ,0,0,0,0,0,0,0,0,0,1
병신같은 짱깨 새끼들,0,1,0,0,0,0,0,0,0,0
한남 말동무도 해주고 심심하냐?,0,0,0,0,0,0,0,0,0,1
보지에 늘 새기겠노,0,0,0,0,0,0,1,0,0,0
라도가 또!,0,0,0,1,0,0,0,0,0,0
쌍도나 라도나 시골 촌놈새끼들이기는 매한가지.. 진짜 뭔개지랄을 하면서 싸우는건 좋은데 서울로 기어올라오지마라땅끄로 밀어버리기 전에,0,0,0,1,0,0,0,0,0,0
대물취급받고 울컥하노 ㅋㅋ,0,0,0,0,0,0,0,1,0,0
잔나비가 갑자기 생각남,0,0,0,0,0,0,0,1,0,0
안되 예슬아... 그 섹히는 널 속이고 있을뿐이야.....,0,0,0,0,0,0,1,0,0,0
"세상이 변하고 급격히 변화될지라도, 십자가의 복음의 능력은 절대불변이며...모두를 살릴수있는 생명임을 다시 깨닫네요.",0,0,0,0,0,0,0,1,0,0
동성애자는 아니지만 동성애 인정한다. 그리고 성바꾸는 사람 이것도 본인 자유니깐 인정하고 이해하려고 노력한다. 근데 이건 뭐냐 그냥 억지 부리고 떼쓰는거로밖에 안보인다.  수술하고 여군 시험 봤어야지 ㅂㅅ같은 새키,1,0,0,0,0,0,0,0,0,0
똥꼬충새끼 그렇게 당당한새끼들이 자소서에 똥꼬충인건 못쓰죠?ㅋㅋㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0
팬놈 맞은몸 둘다 전라도 아니냐 ㅋㅋㅋ이이제이 개꿀,0,0,0,1,0,0,0,0,0,0
양할아버지가 외할아버지임?엄마쪽 아빠야? 누가 성폭행했다는건지 모르겠네,0,0,0,0,0,0,0,1,0,0
출구? 출구리 밥조용 헤ㅇ으으윽.. 호에에에에,0,0,0,0,0,0,0,1,0,0
근데 저것도 없어질 직군이라 안타깝네요,0,0,0,0,0,0,0,1,0,0
"아니 싫은건 싫어한다고 말할줄도 알아야지, 인정 ㅇㅇ. 나는 페미들과 민주건달들이 싫음.",0,0,0,0,0,1,0,0,0,1
인종청소 함가야겠노,0,1,0,0,0,0,0,0,0,0
진정한 젠신병자면 페미니즘 할텐데 젠신이 죽어도 페미니즘이 안티 젠신이라는거 보니까 젠신은 그냥 거세당한 자지놈이노,1,0,0,0,0,1,0,0,0,0
나아닌 나 참나는 하나 둘 셋이다 자유도 평등도 사랑하는 법이다,0,0,0,0,0,0,0,1,0,0
ㄴㄴ 그건 3인칭 호칭이지,0,0,0,0,0,0,0,1,0,0
저러다가 피해자 나오면 입 싹 닫을거노 제주도 아기천사들 봊나 위험하노,0,0,0,0,0,0,0,1,0,0
52조는???,0,0,0,0,0,0,0,1,0,0
원장은 사회적 살인 혹은 사회적 성폭행 당한 셈인데.. 이에 대한 방송이나 전문가의 말이 별로 없네요 원장에 대해서 피해입힌 것은 법으로도 그다지 큰 처벌 안당하겠죠? 암울하네요,0,0,0,0,0,0,0,1,0,0
이민자들 받아 들이기 전에 한국에 동화될 놈들인지 아닌지 판별부터 좀해라요즘 돌아가는 거보면 개슬람이고 짱개고 한국에 동화되서 사회구성원으로서 공동체에 기여하면서 살려는게 아니라 한국을 지들한테 동화시키고 현지인을 정복해서 자기밑에 두려고 드는걸로 보인다,0,1,0,0,0,0,0,0,0,0
소중한 반차 ㅋㅋ,0,0,0,0,0,0,0,1,0,0
속이 후련하네 ㅋㅋ,0,0,0,0,0,0,0,1,0,0
이거 방송 때 듣고있었는데 정말 논란거리가 될만한걸 유머러스하게 잘 대처하는거보고 역시 프로라고느낌,0,0,0,0,0,0,0,1,0,0
진짜 한국남자만큼 자기자신을 잘모르는남자들이 없을거같노 주제를 정말모르고 언제나 자신을 높게평가한다익이야 자의식과잉,0,0,0,0,0,0,0,0,0,1
왜 전라도인들은 경상도사람만 전라도를 싫어한다고 착각할까,0,0,0,1,0,0,0,0,0,0
notepad.exe,0,0,0,0,0,0,0,1,0,0
어디서나 자릉내 풍긴다이기,0,0,0,0,0,0,0,0,0,1
역시 지들보다 약한 유아 폭행하는건 한녀가 세계 1등이지~ 이래놓고선 피해자인척 하는 꼴 역겹~,0,0,0,0,0,0,0,0,0,1
언론 통제 하는 나라입니다 아마 쿠알라룸프 빼고 확진자가 많을겁니다 조심하세요,0,1,0,0,0,0,0,0,0,0
요즘 한남발 주작 자료들 보면 유독 스시남이랑 조사치 바꿔치기 함 ㅋㅋㅋ 한남충들 하나같이 ㅋㅋ 세계 여러나라 중에서도 진심 스시남한테 자격지심 유독 앵나 심해 ㅋㅋㅋㅋ,0,1,0,0,0,0,0,0,0,1
태어난 아기는 진짜 혼란스럽겠다,0,0,0,0,0,0,0,1,0,0
페미는 정신병 ㅇㅇ,0,0,0,0,0,0,0,0,0,1
자들자들 어차피 한남들 클론 아니노? 누가 그려도 저 면상 그대로노,0,0,0,0,0,0,0,0,0,1
ㄹㅇ팩트다,0,0,0,0,0,0,0,1,0,0
국제사회로 가거라 중이실으면 절이 떠나야지 타국에 와서 뽕을 빼려고하노?,0,1,0,0,0,0,0,0,0,0
그럼 여자 캐릭터 다없어져야함~ 무거운거 남자가 들어도 차별이고 여자가 무거운거 들고있으면 연약한여자 드립치고 요리 여자가해도 차별이면 모든 어린이 만화에 여자 다없애면끝,0,0,0,0,0,0,0,1,0,0
막심센세 나타나서 똥꼬충 후장 꼬매주면 좋겠다 ㅋㅋ,1,0,0,0,0,0,0,0,0,0
아니 .. 죄질이 무겁다면서 왜 집유를 하는건지 모르것네요 죄질무거워 3년 집유 5년 이게 말이 되는지,0,0,0,0,0,0,0,1,0,0
형 초짜가 영어 잘하는꿀팁좀,0,0,0,0,0,0,0,1,0,0
딱 똥꼬충새끼들 수준을 보여주는거다 뭐 순수한 사랑 플라토닉이고 개지랄을 하지만 결국 관심있는건 자지 후장밖에 없고 똥꼬에 미친 정신병자새끼들임을 지들 스스로 유감없이 보여줌,1,0,0,0,0,1,0,0,0,0
ㅋㅋㅋ 일베갔는데 0렙이노,0,0,0,0,0,0,0,1,0,0
이 새기들은 그냥 서구 세계에 끼려고그런 새기들도 있다 하고 짜고 치는거 아님?,0,0,0,0,0,0,1,0,0,0
시발 용어만 다 붙이면 똑똑해보이는 줄 아네 보지들은겉멋만 존나게 들어가지고 시발 허1지웅이냐,0,0,0,0,0,0,0,0,0,1
다정한부부,0,0,0,0,0,0,0,1,0,0
